1,1,0.476190
2,8,0.476190
3,18,0.480820
4,16,0.450893
5,17,0.418067
6,13,0.537546
7,12,0.588294
8,14,0.536565
9,8,0.568452
10,13,0.563187
11,15,0.657143
12,15,0.607143
13,14,0.631803
14,6,0.670635
15,10,0.650000
16,16,0.623512
17,11,0.594156
18,16,0.610119
19,14,0.684524
20,3,0.500000
21,12,0.658730
22,11,0.676407
23,15,0.628571
24,13,0.707875
25,9,0.665344
26,12,0.675595
27,8,0.683036
28,18,0.694444
29,11,0.706710
30,11,0.677489
31,9,0.612434
32,13,0.659341
33,4,0.610119
34,9,0.712963
35,9,0.702381
36,11,0.714286
37,7,0.712585
38,5,0.714286
39,6,0.714286
40,6,0.708333
41,9,0.699735
42,7,0.712585
43,7,0.710884
44,7,0.714286
45,5,0.714286
46,3,0.714286
47,9,0.712963
48,5,0.519048
49,10,0.714286
50,5,0.714286
