20,2,0.608224
21,2,0.476190
22,1,0.178571
23,5,0.545952
24,1,0.523810
25,3,0.332723
26,3,0.291107
27,3,0.464699
28,6,0.518552
29,1,0.150000
30,7,0.216702
31,5,0.403268
32,5,0.461627
33,2,0.036905
34,5,0.271429
35,5,0.263571
36,5,0.203929
37,3,0.444444
38,3,0.587302
39,6,0.440476
40,2,0.250000
41,5,0.530119
42,10,0.481488
43,3,0.522176
44,4,0.601190
45,2,0.333333
46,6,0.561508
47,3,0.265873
48,3,0.404762
49,5,0.402381
50,2,0.547619
51,1,0.690476
52,2,0.327381
53,4,0.425595
54,4,0.479167
55,3,0.539683
56,3,0.265873
57,1,0.321429
58,2,0.648810
59,5,0.488095
62,1,0.250000
63,1,0.571429
64,1,0.607143
65,1,0.619048
66,1,0.500000
67,1,0.714286
68,2,0.297619
69,1,0.404762
70,1,0.202381
71,1,0.678571
72,2,0.619048
73,2,0.505952
74,1,0.714286
75,3,0.488095
76,2,0.529762
78,1,0.559524
79,2,0.547619
80,2,0.517857
81,2,0.517857
82,2,0.321429
87,2,0.636905
89,1,0.059524
91,1,0.095238
94,1,0.678571
95,1,0.666667
96,1,0.666667
97,1,0.666667
106,1,0.000000
110,1,0.333333
112,1,0.678571
113,1,0.702381
116,1,0.666667
117,2,0.696429
118,1,0.678571
119,2,0.690476
132,1,0.369048
149,2,0.690476
