subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
bn,cnn,cnn_0397,92,29,19,1,0.535714
bn,cnn,cnn_0423,90,26,12,8,0.440000
bn,mnb,mnb_0017,60,27,16,4,0.192308
bn,mnb,mnb_0025,100,28,19,1,0.481481
bn,nbc,nbc_0006,104,27,19,1,0.384615
bn,nbc,nbc_0008,95,29,19,1,0.428571
bn,nbc,nbc_0034,126,28,19,1,0.666667
bn,pri,pri_0021,117,30,19,1,0.724138
bn,pri,pri_0045,130,29,19,1,0.714286
bn,pri,pri_0084,161,30,19,1,0.586207
bn,voa,voa_0107,135,29,19,1,0.642857
bn,voa,voa_0131,110,28,18,2,0.555556
bn,voa,voa_0132,134,28,19,1,0.703704
bn,abc,abc_0027,121,34,19,1,0.545455
bn,abc,abc_0035,117,35,18,2,0.147059
bn,abc,abc_0055,114,35,19,1,0.470588
bn,abc,abc_0056,105,33,8,12,0.093750
bn,cnn,cnn_0198,116,31,19,1,0.300000
bn,cnn,cnn_0272,143,31,19,1,0.533333
bn,cnn,cnn_0288,114,35,19,1,0.382353
bn,cnn,cnn_0332,113,34,19,1,0.696970
bn,cnn,cnn_0334,111,31,19,1,0.433333
bn,cnn,cnn_0343,118,32,19,1,0.322581
bn,cnn,cnn_0383,105,35,19,1,0.588235
bn,cnn,cnn_0408,83,32,19,1,0.516129
bn,cnn,cnn_0426,93,35,19,1,0.441176
bn,mnb,mnb_0013,102,34,19,1,0.484848
bn,nbc,nbc_0001,122,31,17,3,0.333333
bn,pri,pri_0006,123,32,19,1,0.516129
bn,pri,pri_0028,165,33,19,1,0.562500
bn,pri,pri_0064,155,34,19,1,0.393939
bn,pri,pri_0066,111,31,19,1,0.533333
bn,pri,pri_0071,173,33,19,1,0.500000
bn,pri,pri_0078,147,35,19,1,0.705882
bn,pri,pri_0105,170,35,19,1,0.764706
bn,voa,voa_0061,154,32,19,1,0.774194
bn,abc,abc_0014,93,36,19,1,0.400000
bn,cnn,cnn_0278,89,38,19,1,0.513514
bn,cnn,cnn_0311,120,36,19,1,0.371429
bn,cnn,cnn_0382,125,40,19,1,0.358974
bn,cnn,cnn_0404,129,39,19,1,0.421053
bn,cnn,cnn_0431,111,40,19,1,0.410256
bn,cnn,cnn_0433,93,39,19,1,0.342105
bn,mnb,mnb_0011,148,39,19,1,0.684211
bn,pri,pri_0016,184,38,19,1,0.648649
bn,pri,pri_0023,136,40,19,1,0.641026
bn,pri,pri_0035,175,38,19,1,0.783784
bn,pri,pri_0053,128,38,19,1,0.459459
bn,pri,pri_0074,143,36,19,1,0.742857
bn,pri,pri_0093,137,36,19,1,0.771429
bn,abc,abc_0038,100,42,19,1,0.829268
bn,cnn,cnn_0324,145,45,19,1,0.659091
bn,cnn,cnn_0335,86,41,19,1,0.425000
bn,cnn,cnn_0432,82,41,19,1,0.425000
bn,nbc,nbc_0012,134,45,19,1,0.568182
bn,nbc,nbc_0016,161,41,18,2,0.475000
bn,pri,pri_0005,202,45,19,1,0.613636
bn,pri,pri_0027,160,43,19,1,0.595238
bn,pri,pri_0038,138,43,19,1,0.547619
bn,pri,pri_0048,227,42,19,1,0.536585
bn,pri,pri_0076,173,43,19,1,0.452381
bn,pri,pri_0103,133,42,19,1,0.682927
bn,pri,pri_0106,157,43,19,1,0.476190
bn,cnn,cnn_0253,177,49,19,1,0.479167
bn,cnn,cnn_0338,111,48,-1,21,0.021277
bn,cnn,cnn_0362,167,50,19,1,0.408163
bn,mnb,mnb_0023,96,49,19,1,0.479167
bn,pri,pri_0026,208,46,19,1,0.866667
bn,pri,pri_0094,153,49,19,1,0.395833
bn,pri,pri_0096,162,47,19,1,0.500000
bn,cnn,cnn_0011,33,7,19,1,0.500000
bn,cnn,cnn_0034,37,8,2,18,0.000000
bn,cnn,cnn_0061,39,7,13,7,0.333333
bn,cnn,cnn_0083,33,8,5,15,0.571429
bn,cnn,cnn_0084,34,8,19,1,0.571429
bn,cnn,cnn_0125,23,6,13,7,0.800000
bn,cnn,cnn_0133,35,7,9,11,1.000000
bn,cnn,cnn_0192,27,8,15,5,0.428571
bn,cnn,cnn_0206,31,6,11,9,0.800000
bn,cnn,cnn_0232,49,7,9,11,1.000000
bn,cnn,cnn_0258,47,9,19,1,0.875000
bn,cnn,cnn_0264,33,6,14,6,0.600000
